filename,prompt
86.jpg,"A photo-realistic portrait of a woman with a big nose, high cheekbones, and black hair."
87.jpg,A photo-realistic portrait of a woman wearing lipstick with high cheekbones and black hair.
88.jpg,A photo-realistic portrait of a young woman wearing lipstick with black hair.
89.jpg,"A photo-realistic portrait of a man with bushy eyebrows, high cheekbones, and a big nose."
90.jpg,A photo-realistic portrait of a young woman wearing heavy makeup with mouth slightly open.
91.jpg,"A photo-realistic portrait of a woman wearing a necklace with wavy, blond hair."
92.jpg,"A photo-realistic portrait of a young, attractive man with 5 o'clock shadow."
93.jpg,"A photo-realistic portrait of a woman with narrow eyes, a pointy nose, and wavy hair."
94.jpg,A photo-realistic portrait of a young man with 5 o'clock shadow and black hair.
95.jpg,"A photo-realistic portrait of a woman with arched eyebrows, high cheekbones, and brown hair."
96.jpg,"A photo-realistic portrait of a man with a big nose, a goatee, sideburns, a mustache, and wavy hair."
97.jpg,A photo-realistic portrait of a chubby man with a big nose and gray hair.
98.jpg,A photo-realistic portrait of a woman wearing lipstick with big lips and black hair.
99.jpg,A photo-realistic portrait of a smiling woman wearing heavy makeup with bangs.
100.jpg,"A photo-realistic portrait of a man with pale skin and wavy, brown hair."
101.jpg,A photo-realistic portrait of a woman wearing earrings with arched eyebrows and brown hair.
102.jpg,A photo-realistic portrait of a young woman with a big nose and black hair.
103.jpg,"A photo-realistic portrait of a woman with a receding hairline, a big nose, and black hair."
104.jpg,A photo-realistic portrait of a woman wearing earrings with arched eyebrows and mouth slightly open.
105.jpg,A photo-realistic portrait of a smiling woman with mouth slightly open and blond hair.
106.jpg,A photo-realistic portrait of a young woman wearing heavy makeup with arched eyebrows.
107.jpg,A photo-realistic portrait of a woman wearing lipstick with arched eyebrows and big lips.
108.jpg,"A photo-realistic portrait of an attractive woman with wavy, black hair."
109.jpg,A photo-realistic portrait of a woman wearing a necklace with high cheekbones and wavy hair.
110.jpg,"A photo-realistic portrait of an attractive, young woman wearing earrings."
111.jpg,A photo-realistic portrait of an attractive woman with mouth slightly open and brown hair.
112.jpg,"A photo-realistic portrait of a woman with mouth slightly open, rosy cheeks, and blond hair."
113.jpg,A photo-realistic portrait of a young man with 5 o'clock shadow and brown hair.
114.jpg,A photo-realistic portrait of a young woman wearing earrings with arched eyebrows.
115.jpg,A photo-realistic portrait of a man wearing a necktie with a double chin and a big nose.
116.jpg,A photo-realistic portrait of a smiling woman with mouth slightly open and high cheekbones.
117.jpg,"A photo-realistic portrait of a woman with big lips, mouth slightly open, and arched eyebrows."
118.jpg,A photo-realistic portrait of an attractive woman wearing a necklace with bags under eyes.
119.jpg,A photo-realistic portrait of a young woman wearing lipstick.
120.jpg,A photo-realistic portrait of an attractive woman with an oval face and brown hair.
121.jpg,"A photo-realistic portrait of a woman with high cheekbones, a big nose, and brown hair."
122.jpg,A photo-realistic portrait of a woman wearing heavy makeup with high cheekbones and wavy hair.
123.jpg,A photo-realistic portrait of a woman wearing earrings with high cheekbones and arched eyebrows.
124.jpg,"A photo-realistic portrait of a smiling, young woman wearing lipstick."
125.jpg,A photo-realistic portrait of a woman wearing lipstick with high cheekbones and blond hair.
126.jpg,"A photo-realistic portrait of a woman wearing lipstick with wavy, blond hair."
127.jpg,A photo-realistic portrait of a smiling woman wearing heavy makeup with an oval face.
128.jpg,A photo-realistic portrait of a woman wearing a necklace with high cheekbones and wavy hair.
129.jpg,"A photo-realistic portrait of a man with a receding hairline, a big nose, and big lips."
130.jpg,A photo-realistic portrait of a woman wearing lipstick with arched eyebrows and high cheekbones.
131.jpg,A photo-realistic portrait of a smiling woman with arched eyebrows and blond hair.
132.jpg,A photo-realistic portrait of a man wearing eyeglasses with a big nose and gray hair.
133.jpg,"A photo-realistic portrait of a man with bags under eyes, 5 o'clock shadow, and gray hair."
134.jpg,A photo-realistic portrait of a young man with big lips and a receding hairline.
135.jpg,"A photo-realistic portrait of a woman with arched eyebrows and straight, blond hair."
136.jpg,"A photo-realistic portrait of a woman wearing heavy makeup with wavy, brown hair."
137.jpg,A photo-realistic portrait of a woman wearing heavy makeup with mouth slightly open and arched eyebrows.
138.jpg,A photo-realistic portrait of a bald man with a big nose and a double chin.
139.jpg,A photo-realistic portrait of an attractive woman wearing heavy makeup with blond hair.
140.jpg,A photo-realistic portrait of a woman wearing lipstick with big lips and high cheekbones.
141.jpg,A photo-realistic portrait of a woman wearing earrings with big lips and brown hair.
142.jpg,A photo-realistic portrait of a young man with big lips and 5 o'clock shadow.
143.jpg,A photo-realistic portrait of a smiling woman wearing lipstick with wavy hair.
144.jpg,A photo-realistic portrait of a young woman with high cheekbones and wavy hair.
145.jpg,"A photo-realistic portrait of a woman with big lips, an oval face, and blond hair."
146.jpg,"A photo-realistic portrait of a woman with a big nose and wavy, brown hair."
147.jpg,"A photo-realistic portrait of a woman with bags under eyes, a big nose, and black hair."
148.jpg,"A photo-realistic portrait of a woman with high cheekbones, arched eyebrows, and brown hair."
149.jpg,A photo-realistic portrait of a man wearing a necktie with a big nose and gray hair.
150.jpg,A photo-realistic portrait of a young woman wearing earrings with a pointy nose.
151.jpg,A photo-realistic portrait of a man with 5 o'clock shadow and bags under eyes.
152.jpg,A photo-realistic portrait of a young woman with narrow eyes and black hair.
153.jpg,A photo-realistic portrait of an attractive woman with a pointy nose and arched eyebrows.
154.jpg,"A photo-realistic portrait of a woman with high cheekbones, mouth slightly open, and bangs."
155.jpg,"A photo-realistic portrait of a young, attractive man with bushy eyebrows."
156.jpg,A photo-realistic portrait of an attractive woman wearing lipstick with wavy hair.
157.jpg,"A photo-realistic portrait of a man with bags under eyes, high cheekbones, and rosy cheeks."
158.jpg,A photo-realistic portrait of a woman wearing lipstick with a receding hairline and a big nose.
159.jpg,A photo-realistic portrait of a woman wearing heavy makeup with high cheekbones and arched eyebrows.
160.jpg,A photo-realistic portrait of a woman wearing earrings with arched eyebrows and a double chin.
161.jpg,A photo-realistic portrait of a young woman with arched eyebrows and black hair.
162.jpg,A photo-realistic portrait of a smiling woman wearing heavy makeup with high cheekbones.
163.jpg,A photo-realistic portrait of a chubby woman wearing lipstick with a big nose.
164.jpg,A photo-realistic portrait of a young man with a big nose and bags under eyes.
165.jpg,"A photo-realistic portrait of a young, attractive woman with blond hair."
166.jpg,A photo-realistic portrait of an attractive woman with big lips and high cheekbones.
167.jpg,"A photo-realistic portrait of a man with big lips, a double chin, and a big nose."
168.jpg,A photo-realistic portrait of a man wearing a necktie with bags under eyes and high cheekbones.
169.jpg,A photo-realistic portrait of a young woman with bushy eyebrows and straight hair.
170.jpg,"A photo-realistic portrait of a woman with arched eyebrows, high cheekbones, and wavy hair."
171.jpg,A photo-realistic portrait of a young woman with big lips and brown hair.
172.jpg,A photo-realistic portrait of a woman wearing heavy makeup with arched eyebrows and brown hair.
173.jpg,A photo-realistic portrait of a young woman wearing a necklace with narrow eyes.
174.jpg,"A photo-realistic portrait of a woman with a pointy nose, high cheekbones, and black hair."
175.jpg,A photo-realistic portrait of an attractive woman wearing lipstick with wavy hair.
176.jpg,"A photo-realistic portrait of an attractive, young woman with high cheekbones."
177.jpg,"A photo-realistic portrait of an attractive, young woman with big lips."
178.jpg,"A photo-realistic portrait of a man with 5 o'clock shadow, narrow eyes, and black hair."
179.jpg,"A photo-realistic portrait of a chubby man with 5 o'clock shadow, a goatee, sideburns, a mustache, and a big nose."
180.jpg,"A photo-realistic portrait of a man with a goatee, sideburns, a mustache, a big nose, and bags under eyes."
181.jpg,"A photo-realistic portrait of a woman with a pointy nose, high cheekbones, and blond hair."
182.jpg,A photo-realistic portrait of a smiling woman with bangs and arched eyebrows.
183.jpg,"A photo-realistic portrait of a woman with arched eyebrows, high cheekbones, and wavy hair."
184.jpg,A photo-realistic portrait of a young woman with high cheekbones and straight hair.
185.jpg,A photo-realistic portrait of a woman wearing earrings with high cheekbones and arched eyebrows.
186.jpg,A photo-realistic portrait of a woman wearing lipstick with high cheekbones and a big nose.
187.jpg,A photo-realistic portrait of a woman wearing lipstick with arched eyebrows and a pointy nose.
188.jpg,A photo-realistic portrait of a smiling woman with high cheekbones and big lips.
189.jpg,A photo-realistic portrait of an attractive woman wearing lipstick with wavy hair.
190.jpg,"A photo-realistic portrait of a man with a big nose, big lips, and high cheekbones."
191.jpg,"A photo-realistic portrait of a woman with a pointy nose and wavy, blond hair."
192.jpg,A photo-realistic portrait of a young woman with bushy eyebrows and wavy hair.
193.jpg,"A photo-realistic portrait of a young, smiling woman wearing earrings."
194.jpg,A photo-realistic portrait of a man wearing a necktie with 5 o'clock shadow and gray hair.
195.jpg,"A photo-realistic portrait of a woman with high cheekbones, arched eyebrows, and blond hair."
196.jpg,"A photo-realistic portrait of a man with high cheekbones, a big nose, and 5 o'clock shadow."
197.jpg,A photo-realistic portrait of a woman wearing earrings with bags under eyes and wavy hair.
198.jpg,"A photo-realistic portrait of a woman with high cheekbones and wavy, brown hair."
199.jpg,A photo-realistic portrait of a woman wearing lipstick with bushy eyebrows and bags under eyes.
200.jpg,A photo-realistic portrait of a chubby man with a big nose and a receding hairline.
201.jpg,A photo-realistic portrait of an attractive woman wearing a necklace with black hair.
202.jpg,A photo-realistic portrait of a woman wearing lipstick with arched eyebrows and brown hair.
203.jpg,"A photo-realistic portrait of a woman with arched eyebrows and straight, blond hair."
204.jpg,"A photo-realistic portrait of a young, attractive woman with big lips."
205.jpg,"A photo-realistic portrait of a woman with high cheekbones and wavy, blond hair."
206.jpg,"A photo-realistic portrait of a woman with high cheekbones, mouth slightly open, and black hair."
207.jpg,A photo-realistic portrait of a woman wearing earrings with mouth slightly open and arched eyebrows.
208.jpg,A photo-realistic portrait of a woman wearing earrings with high cheekbones and brown hair.
209.jpg,A photo-realistic portrait of a young woman wearing heavy makeup with blond hair.
210.jpg,"A photo-realistic portrait of a woman with bushy eyebrows and straight, black hair."
211.jpg,A photo-realistic portrait of a chubby man with a receding hairline and black hair.
212.jpg,A photo-realistic portrait of a young woman with straight hair.
213.jpg,"A photo-realistic portrait of a woman with high cheekbones, a big nose, and wavy hair."
214.jpg,A photo-realistic portrait of a woman wearing earrings with high cheekbones and wavy hair.
215.jpg,"A photo-realistic portrait of a woman with arched eyebrows, mouth slightly open, and brown hair."
216.jpg,"A photo-realistic portrait of a woman with arched eyebrows, mouth slightly open, and an oval face."
217.jpg,"A photo-realistic portrait of a woman with high cheekbones, rosy cheeks, and arched eyebrows."
218.jpg,"A photo-realistic portrait of a woman wearing lipstick with wavy, black hair."
219.jpg,A photo-realistic portrait of an attractive woman with a pointy nose and blond hair.
220.jpg,"A photo-realistic portrait of a woman with a big nose, high cheekbones, and black hair."
221.jpg,A photo-realistic portrait of a woman wearing lipstick with a pointy nose and arched eyebrows.
222.jpg,"A photo-realistic portrait of a smiling, young woman wearing lipstick."
223.jpg,A photo-realistic portrait of an attractive woman wearing lipstick with wavy hair.
224.jpg,A photo-realistic portrait of a young woman wearing earrings with wavy hair.
225.jpg,"A photo-realistic portrait of a woman with bangs, high cheekbones, and mouth slightly open."
226.jpg,"A photo-realistic portrait of a woman wearing lipstick with wavy, blond hair."
227.jpg,A photo-realistic portrait of a woman wearing lipstick with high cheekbones and a receding hairline.
228.jpg,A photo-realistic portrait of a smiling woman wearing lipstick with mouth slightly open.
229.jpg,"A photo-realistic portrait of a man with a big nose, bags under eyes, and straight hair."
230.jpg,A photo-realistic portrait of a smiling woman with high cheekbones and blond hair.
231.jpg,"A photo-realistic portrait of a smiling, young woman with black hair."
232.jpg,A photo-realistic portrait of a young woman with high cheekbones and blond hair.
233.jpg,A photo-realistic portrait of a young woman wearing a necklace with arched eyebrows.
234.jpg,A photo-realistic portrait of a woman wearing heavy makeup with high cheekbones and blond hair.
235.jpg,A photo-realistic portrait of an attractive woman with arched eyebrows and wavy hair.
236.jpg,"A photo-realistic portrait of a woman wearing lipstick with wavy, blond hair."
237.jpg,"A photo-realistic portrait of a woman with arched eyebrows, big lips, and wavy hair."
238.jpg,"A photo-realistic portrait of a young, attractive woman with a pointy nose."
239.jpg,A photo-realistic portrait of a young woman with high cheekbones and black hair.
240.jpg,A photo-realistic portrait of a young man with bushy eyebrows and a big nose.
241.jpg,A photo-realistic portrait of a young woman with an oval face and blond hair.
242.jpg,A photo-realistic portrait of a woman wearing lipstick with big lips and blond hair.
243.jpg,"A photo-realistic portrait of a man with a pointy nose, bags under eyes, and brown hair."
244.jpg,"A photo-realistic portrait of a man with narrow eyes, high cheekbones, and brown hair."
245.jpg,A photo-realistic portrait of a young woman with high cheekbones and brown hair.
246.jpg,A photo-realistic portrait of a smiling man with 5 o'clock shadow and wavy hair.
247.jpg,A photo-realistic portrait of a smiling man wearing a necktie with a big nose.
248.jpg,A photo-realistic portrait of an attractive woman with a pointy nose and wavy hair.
249.jpg,"A photo-realistic portrait of a man with 5 o'clock shadow, a pointy nose, and brown hair."
250.jpg,A photo-realistic portrait of a woman wearing a necklace with an oval face and bushy eyebrows.
251.jpg,A photo-realistic portrait of a woman wearing earrings with a pointy nose and blond hair.
252.jpg,A photo-realistic portrait of a chubby woman wearing lipstick with a big nose.
253.jpg,"A photo-realistic portrait of a woman wearing lipstick with straight, black hair."
254.jpg,A photo-realistic portrait of a smiling woman with bangs and high cheekbones.
255.jpg,"A photo-realistic portrait of a woman with high cheekbones, mouth slightly open, and bangs."
256.jpg,A photo-realistic portrait of a man wearing a necktie with a big nose and straight hair.
257.jpg,A photo-realistic portrait of a young woman wearing lipstick with rosy cheeks.
258.jpg,A photo-realistic portrait of a young woman with high cheekbones and brown hair.
259.jpg,A photo-realistic portrait of a young woman wearing earrings with blond hair.
260.jpg,A photo-realistic portrait of an attractive woman with a big nose and a receding hairline.
261.jpg,A photo-realistic portrait of a woman wearing lipstick with big lips and brown hair.
262.jpg,A photo-realistic portrait of a smiling woman with high cheekbones and mouth slightly open.
263.jpg,A photo-realistic portrait of a woman wearing heavy makeup with a pointy nose and wavy hair.
264.jpg,A photo-realistic portrait of an attractive man with 5 o'clock shadow and brown hair.
265.jpg,A photo-realistic portrait of a young woman wearing lipstick with black hair.
266.jpg,A photo-realistic portrait of a young woman with a receding hairline and black hair.
267.jpg,A photo-realistic portrait of a young woman with pale skin and wavy hair.
268.jpg,A photo-realistic portrait of a young woman with arched eyebrows and brown hair.
269.jpg,A photo-realistic portrait of an attractive woman wearing earrings with high cheekbones.
270.jpg,A photo-realistic portrait of a chubby woman wearing a necklace with mouth slightly open.
271.jpg,"A photo-realistic portrait of a woman with big lips, high cheekbones, and brown hair."
272.jpg,"A photo-realistic portrait of a man with 5 o'clock shadow, bushy eyebrows, and black hair."
273.jpg,A photo-realistic portrait of an attractive woman with a pointy nose and arched eyebrows.
274.jpg,"A photo-realistic portrait of a woman with a big nose, arched eyebrows, and wavy hair."
275.jpg,A photo-realistic portrait of a woman wearing lipstick with a pointy nose and wavy hair.
276.jpg,A photo-realistic portrait of a smiling woman with high cheekbones and a big nose.
277.jpg,A photo-realistic portrait of a woman wearing lipstick with mouth slightly open and brown hair.
278.jpg,"A photo-realistic portrait of a woman with a pointy nose and wavy, blond hair."
279.jpg,"A photo-realistic portrait of a woman with mouth slightly open, high cheekbones, and bags under eyes."
280.jpg,A photo-realistic portrait of a woman wearing heavy makeup with a big nose and black hair.
281.jpg,"A photo-realistic portrait of a man with bushy eyebrows and straight, black hair."
282.jpg,"A photo-realistic portrait of a man with 5 o'clock shadow, bushy eyebrows, and black hair."
283.jpg,A photo-realistic portrait of a young man with 5 o'clock shadow and black hair.
284.jpg,A photo-realistic portrait of a smiling woman with high cheekbones and blond hair.
285.jpg,A photo-realistic portrait of a woman wearing heavy makeup with high cheekbones and arched eyebrows.
286.jpg,"A photo-realistic portrait of a man with big lips, 5 o'clock shadow, a goatee, sideburns, a mustache, and a big nose."
287.jpg,"A photo-realistic portrait of a woman with narrow eyes and wavy, brown hair."
288.jpg,"A photo-realistic portrait of a man with a big nose, bushy eyebrows, and black hair."
289.jpg,"A photo-realistic portrait of a young, smiling woman with a big nose."
290.jpg,A photo-realistic portrait of a young woman with an oval face and a pointy nose.
291.jpg,A photo-realistic portrait of a young woman wearing lipstick.
292.jpg,A photo-realistic portrait of a chubby man with a big nose and black hair.
293.jpg,"A photo-realistic portrait of a young man with 5 o'clock shadow, sideburns, and brown hair."
294.jpg,"A photo-realistic portrait of a woman wearing heavy makeup with wavy, black hair."
295.jpg,A photo-realistic portrait of a woman wearing earrings with big lips and wavy hair.
296.jpg,A photo-realistic portrait of a young woman wearing a necklace with high cheekbones.
297.jpg,A photo-realistic portrait of a smiling man with a double chin and mouth slightly open.
298.jpg,"A photo-realistic portrait of a young, smiling woman with mouth slightly open."
299.jpg,A photo-realistic portrait of a smiling woman wearing heavy makeup with black hair.
300.jpg,"A photo-realistic portrait of a man with 5 o'clock shadow, a pointy nose, and wavy hair."
301.jpg,A photo-realistic portrait of a young woman with a pointy nose and blond hair.
302.jpg,A photo-realistic portrait of an attractive woman with a pointy nose and mouth slightly open.
303.jpg,"A photo-realistic portrait of a woman with a big nose, arched eyebrows, and an oval face."
304.jpg,"A photo-realistic portrait of a man with 5 o'clock shadow and straight, brown hair."
305.jpg,A photo-realistic portrait of a smiling woman with arched eyebrows and straight hair.
306.jpg,A photo-realistic portrait of a woman wearing earrings with bushy eyebrows and high cheekbones.
307.jpg,A photo-realistic portrait of a smiling woman wearing heavy makeup with a big nose.
308.jpg,"A photo-realistic portrait of a chubby, bald man."
309.jpg,A photo-realistic portrait of a smiling woman with high cheekbones and blond hair.
310.jpg,A photo-realistic portrait of a young woman wearing lipstick with brown hair.
311.jpg,A photo-realistic portrait of a smiling woman wearing a necklace with a big nose.
312.jpg,A photo-realistic portrait of a smiling woman with high cheekbones and black hair.
313.jpg,A photo-realistic portrait of a young woman with big lips and high cheekbones.
314.jpg,A photo-realistic portrait of a smiling woman wearing a necklace with high cheekbones.
315.jpg,A photo-realistic portrait of a woman wearing earrings with arched eyebrows and straight hair.
316.jpg,"A photo-realistic portrait of a woman with big lips and wavy, black hair."
317.jpg,"A photo-realistic portrait of an attractive, smiling man with 5 o'clock shadow and sideburns."
318.jpg,A photo-realistic portrait of a chubby woman with arched eyebrows and black hair.
319.jpg,A photo-realistic portrait of a woman wearing earrings with mouth slightly open and a big nose.
320.jpg,A photo-realistic portrait of a chubby man with a big nose and gray hair.
321.jpg,"A photo-realistic portrait of a young man with a big nose, a goatee, sideburns, and a mustache."
322.jpg,"A photo-realistic portrait of a woman with high cheekbones and straight, brown hair."
323.jpg,A photo-realistic portrait of a smiling man with high cheekbones and a big nose.
324.jpg,A photo-realistic portrait of a man wearing a necktie with bags under eyes and straight hair.
325.jpg,A photo-realistic portrait of a smiling woman with arched eyebrows and a big nose.
326.jpg,A photo-realistic portrait of a woman wearing a necklace with high cheekbones and straight hair.
327.jpg,A photo-realistic portrait of a woman wearing lipstick with arched eyebrows and mouth slightly open.
328.jpg,A photo-realistic portrait of a young man with bushy eyebrows and narrow eyes.
329.jpg,A photo-realistic portrait of a woman wearing lipstick with high cheekbones and bags under eyes.
330.jpg,"A photo-realistic portrait of a young woman with straight, black hair."
331.jpg,"A photo-realistic portrait of a man with 5 o'clock shadow, bags under eyes, and gray hair."
332.jpg,A photo-realistic portrait of a woman wearing a necklace with a big nose and brown hair.
333.jpg,A photo-realistic portrait of a woman wearing earrings with high cheekbones and arched eyebrows.
334.jpg,A photo-realistic portrait of a smiling man with bags under eyes and blond hair.
335.jpg,"A photo-realistic portrait of a woman with mouth slightly open, a big nose, and arched eyebrows."
336.jpg,A photo-realistic portrait of a chubby man with narrow eyes and a big nose.
337.jpg,A photo-realistic portrait of an attractive woman wearing lipstick with black hair.
338.jpg,"A photo-realistic portrait of an attractive, young woman wearing earrings."
339.jpg,"A photo-realistic portrait of a woman with bangs, arched eyebrows, and blond hair."
340.jpg,"A photo-realistic portrait of a man with high cheekbones and straight, black hair."
341.jpg,A photo-realistic portrait of a young woman with arched eyebrows and straight hair.
342.jpg,A photo-realistic portrait of a woman wearing heavy makeup with a pointy nose and high cheekbones.
343.jpg,"A photo-realistic portrait of a man with 5 o'clock shadow, a big nose, and gray hair."
344.jpg,"A photo-realistic portrait of a woman with a big nose, bangs, and high cheekbones."
345.jpg,A photo-realistic portrait of a young woman with high cheekbones and brown hair.
346.jpg,"A photo-realistic portrait of a woman with high cheekbones and wavy, blond hair."
347.jpg,A photo-realistic portrait of a bald man with a big nose and mouth slightly open.
348.jpg,"A photo-realistic portrait of a man with a big nose and straight, black hair."
349.jpg,A photo-realistic portrait of an attractive woman with a pointy nose and blond hair.
350.jpg,"A photo-realistic portrait of an attractive, smiling woman with mouth slightly open."
351.jpg,A photo-realistic portrait of a young woman with mouth slightly open and wavy hair.
352.jpg,"A photo-realistic portrait of a woman wearing lipstick with wavy, black hair."
353.jpg,"A photo-realistic portrait of a woman with an oval face, a pointy nose, and wavy hair."
354.jpg,A photo-realistic portrait of a woman wearing heavy makeup with a double chin and arched eyebrows.
355.jpg,"A photo-realistic portrait of a man with bags under eyes, 5 o'clock shadow, sideburns, and wavy hair."
356.jpg,"A photo-realistic portrait of an attractive man with straight, black hair."
